user_name,user_url,rating_num,comment_time,content,vote_count,attitude
Zzz,https://www.douban.com/people/76937893/,user-stars allstar30 rating,2020/6/12,2.5主歌听了两句就知道是套路。下一个和弦都能猜到。,37,0
Vasary. Wong,https://www.douban.com/people/Vasary_Wong/,user-stars allstar30 rating,2020/6/12,噗，前奏是骗我开了Nat King Cole的西语专辑吗？周董怎么好几次的歌都是我上课即兴的和弦，太简单啦，能不能来点儿新的也好让我扒一扒啊！！,5,0
o0工藤波波0o,https://www.douban.com/people/bba356285883/,user-stars allstar20 rating,2020/6/12,主歌曲子写的很有趣，中间的Rap 很莫名其妙，词真的很无聊。算是周杰伦近三年来最好的作品，但相比周杰伦自己来说，这首也就是勉强及格的作品。,180,0
爱岗敬业小林桑,https://www.douban.com/people/shenjun35/,user-stars allstar30 rating,2020/6/12,是古巴味儿，加了点迷迭香，rap很乔克叔叔……,21,0
失控的胖子,https://www.douban.com/people/52925540/,user-stars allstar30 rating,2020/6/12,宁愿旧歌重新改变不断回锅 也不愿意听到敷衍的新歌,8,0
楚天祥,https://www.douban.com/people/93233231/,user-stars allstar30 rating,2020/6/12,除开MV过于难看扣一星，单纯听歌的话至少算是一个新鲜的周董(迷迭香的更替版)，虽然拉丁不拉丁，流行不流行的，但是悦耳程度与周式风格还是熟悉的配方。虽然的确是为这个季节订制的一首圈钱曲，但是我依然很愿意埋单。,12,2
ssglamor,https://www.douban.com/people/64930726/,user-stars allstar50 rating,2020/6/12,哥哥的歌让我想要恋爱,31,2
把噗,https://www.douban.com/people/babulliu/,user-stars allstar40 rating,2020/6/12,去掉vocal更好听,16,1
特别笨,https://www.douban.com/people/59762971/,user-stars allstar40 rating,2020/6/12,这种歌放在十年前周杰伦一天能创作十首，现在距离上一首单曲十个月……他只是忙着带孩子，没时间创作，没别的……因为是周杰伦，我要多给一颗星！,25,0
bear,https://www.douban.com/people/bear18/,user-stars allstar30 rating,2020/6/12,3.5，半星给编曲，歌词略口水,5,0
Ricky925,https://www.douban.com/people/Ricky925/,user-stars allstar30 rating,2020/6/12,几几年了,16,0
文森Vincent,https://www.douban.com/people/jinjidexiong/,user-stars allstar10 rating,2020/6/12,难听。,27,0
谋杀游戏机,https://www.douban.com/people/hexiaoqin/,user-stars allstar50 rating,2020/6/12,打两星还要装自己是18年老粉，宁搞不搞笑啊。还有说讨好的，谁讨好您了啊您是受众吗？别仗着年纪大就一副指点江山的样子，不喜欢没问题，说出点门道分析下乐理也敬你是条汉子，张口就来到处diss谁不会？显得您很高级？不喜欢还来听，听完还要到处写差评蹭热度刷存在感，您累不累？,25,1
冰山李,https://www.douban.com/people/ofo/,user-stars allstar10 rating,2020/6/12,杰威尔真粉丝听完这首所谓“古巴”元素歌曲之后，只想去给杨瑞代的《哈瓦那》加多一星,12,0
烽少,https://www.douban.com/people/49048529/,user-stars allstar40 rating,2020/6/12,最近几年周董出的单曲里最好听的一首，有点当年《迷迭香》的味道，黄俊郎的歌词也没有让人失望，很喜欢中间的那一段rap， 想到了《手写的从前》，可惜有点短。,14,1
十一哥,https://www.douban.com/people/z2L/,user-stars allstar10 rating,2020/6/12,满屏炫富，只看到一个字：蠢。情怀少年，如今居然变成金链汉子。我尊重你的活法，我也尊重我的差评。,28,0
陆支羽,https://www.douban.com/people/luzhiyu/,user-stars allstar40 rating,2020/6/12,3.5。,10,1
▲polidisco,https://www.douban.com/people/1452720/,user-stars allstar10 rating,2020/6/12,花衬衫真的好土我可以这样说吗？,20,0
Vihre?,https://www.douban.com/people/54749824/,user-stars allstar40 rating,2020/6/12,对比产生美，异域风作品名单又新增了曲目，喜欢“你是文学家笔下的那一片海”。黄俊郎的文字，救了这首新歌，而周氏rap的重现提高了好听度。,8,0
低調光輪。,https://www.douban.com/people/howie720/,user-stars allstar30 rating,2020/6/12,迷迭香、花衬衫、粉色调…… 旧瓶装旧酒，一切都是那么似曾相识,6,0
开膛手菲欧娜,https://www.douban.com/people/midnight_sun/,user-stars allstar50 rating,2020/6/12,踩点节奏好欢快，还是和黄俊郎比较合拍。,12,2
草 莓 酱,https://www.douban.com/people/47349299/,user-stars allstar40 rating,2020/6/12,循环播放还挺上头，是那个迷迭香味的夏日味道,14,2
hamuketsu,https://www.douban.com/people/56375592/,user-stars allstar50 rating,2020/6/12,你所在之处 孤单都被征服??,17,2
千岛酱王子样,https://www.douban.com/people/henry1984zoro/,user-stars allstar40 rating,2020/6/12,我在油管刷的新歌 结果听完了下一个自动播放 迷迭香 这AI真的能克服所有问题了 就是不知道到底道德要放在哪里 23333333,6,0
每天都想退休丸,https://www.douban.com/people/willielynn/,user-stars allstar50 rating,2020/6/12,我还挺喜欢的，看了mv更喜欢,12,2
mpor2,https://www.douban.com/people/mpor2/,user-stars allstar50 rating,2020/6/12,??老年人出歌是慢了一点～,16,0
Will,https://www.douban.com/people/119695950/,user-stars allstar30 rating,2020/6/12,比Camila Cabello更正宗的latino pop。,5,0
WSalomé,https://www.douban.com/people/Tone.C/,user-stars allstar50 rating,2020/6/12,上头,15,2
阿朽,https://www.douban.com/people/fuxiu/,user-stars allstar30 rating,2020/6/12,勉勉强强，起码没有那么奶茶伦,2,0
Pincent,https://www.douban.com/people/Pincent/,user-stars allstar30 rating,2020/6/12,7。感觉也没那么差，类似bossa nova那种清新小调，拉丁异域风情，旋律朗朗上口作曲正常发挥。就是有点老汉装嫩的感觉，尤其是mv。怎么我记得《迷迭香》在当年《依然范特西》里也没很受好评在这里都成”又一次江郎才尽”的证据了？,10,0
沈砚之,https://www.douban.com/people/circlecold/,user-stars allstar30 rating,2020/6/12,再这么下去我就要把近几年单曲统称为“奶爸儿歌”了啊！,11,0
困在。,https://www.douban.com/people/lemon0/,user-stars allstar50 rating,2020/6/12,周董还是那个周董,5,1
绿葡萄架,https://www.douban.com/people/168619468/,user-stars allstar30 rating,2020/6/12,糅杂的味儿有点多，比之前几首好。还是希望他继续出歌的，所以手轻点吧。,7,1
Nuage?,https://www.douban.com/people/windyhill/,user-stars allstar30 rating,2020/6/12,迷迭香,1,0
○Ⅴ○,https://www.douban.com/people/Viccore/,user-stars allstar20 rating,2020/6/12,除了MV的清晰度比较高以外，哪一点比得上《园游会》？,4,0
DeerColin,https://www.douban.com/people/DeerColin/,user-stars allstar30 rating,2020/6/12,虽然玩的是过去的，但也比很多人溜,0,2
Oooo,https://www.douban.com/people/170359992/,user-stars allstar50 rating,2020/6/12,真有你的 什么风格都能写,12,1
直布罗陀岩石,https://www.douban.com/people/zech/,user-stars allstar20 rating,2020/6/12,太一般了，旋律感觉直接采样了一个古巴民歌一样，词随便水一下，MV糊弄式随手拍一下，不提江郎才尽，只想周董认真一点。钱真的不能太好挣。,5,0
建筑民工,https://www.douban.com/people/musofan/,user-stars allstar40 rating,2020/6/12,非常红磨坊，终于想起来找黄俊郎了。但是有个小吐槽，作为一首Bossa Nova，低音竟然用的Bass而不是倍大提琴，MV里明明背景里乐手拨弦那么欢，结果音乐是个Bass声，蛮别扭,0,0
冰山的阴影,https://www.douban.com/people/Rynill5/,user-stars allstar30 rating,2020/6/12,编曲旋律和他自己的巅峰期相比都很一般，可我为什么觉得MV里的哈瓦那格外亲切？,2,0
ccl090,https://www.douban.com/people/157965504/,user-stars allstar20 rating,2020/6/12,好无语。就凭着我熬夜到现在把mv看完我也要来豆瓣评个星以解我心头失望之恨。这个歌虽然没那么难听吧，就只是听一遍就不想再听了的程度，那个旋律我实在无法跳出人生的旋转木马……隔壁女歌手已经写出玫瑰少年了哈，mv也不用说了吧。用点心好不好，用心啊，有那么难吗，大众不要对男歌手要求那么低吧，这是写出过青花瓷的人诶。,21,0
Booonnie,https://www.douban.com/people/haphy/,user-stars allstar50 rating,2020/6/12,这首可以啊~黄俊郎的词终于让新歌回归了正常水准，除了MV拍的比较随意其他没什么槽点【但我觉得vlog形式的MV配这种音乐风格蛮好，老阿姨粉毫不犹豫地为爱豆充值打call,0,1
伊豆,https://www.douban.com/people/yidoudou/,user-stars allstar40 rating,2020/6/12,比上一首有诚意多了啊。这歌词，也太甜了吧。,3,2
风满蜃气楼,https://www.douban.com/people/bearish/,,2020/6/12,就……黄俊郎怎么也开始陪小公举写这种甜腻腻小儿科歌词了??mv颜色明亮倒是蛮开心的,4,1
PirateQ,https://www.douban.com/people/PirateQ/,user-stars allstar50 rating,2020/6/12,中间那一段rap也太好听了吧，缺点是太短。那些打二星的是什么心态哦，是不是觉得抖音神曲更好听？,3,2
Moon,https://www.douban.com/people/kfcmoon/,user-stars allstar40 rating,2020/6/12,原来MV可以不花钱看的，所以周董的歌都有MV。感慨之外，这歌还是有进步，唱的也好，歌词不差。至少比一口气全念对那种歌词有诚意吧。,0,2
PabloHoney,https://www.douban.com/people/alexandrawoo/,user-stars allstar30 rating,2020/6/12,就凭没有念成“莫吉托”就可以及格了233,2,1
巴鸡！,https://www.douban.com/people/yangchangyi520/,user-stars allstar30 rating,2020/6/12,周杰伦的才华可能已经耗尽了吧 不过之前已经为华语歌坛留下了不少佳作了 这种流行口水歌就当赚点奶粉钱吧 也行 还是有异域风情的 MV里的古巴还是那味儿 适合度假??,5,0
達文兮,https://www.douban.com/people/StephenX/,user-stars allstar30 rating,2020/6/12,听了一遍,1,0
Yves·X,https://www.douban.com/people/XHY4/,user-stars allstar30 rating,2020/6/12,找回了做生意的诚意。,4,2
fake,https://www.douban.com/people/shallowater/,user-stars allstar40 rating,2020/6/12,老周还是没有以前酷了，不过这首比我是如此相信/说好不哭好一点。群众的要求也没那么高，写首一般水平的歌就7.0分了。,3,1
朝阳区妻夫木聪,https://www.douban.com/people/Invisible___/,user-stars allstar30 rating,2020/6/12,还行吧，找到一点迷迭香的感觉，rap比主歌部分好听，但是高音部分的vocal感觉特别飘（？），反正二十年老粉表示现在对他好像也没法期待太多了，不糊弄歌迷已经enough了。不过话说今年距离Jay发片也过去20年了！周董不打算出来营业吗！你看看人家爱豆！办个出道20周年线上演唱会轻松刷屏顺便屠榜，你瞅瞅人家再瞅瞅你！害！,8,2
人神斗,https://www.douban.com/people/renshendou/,user-stars allstar30 rating,2020/6/12,MV太蠢了,48,0
Hao,https://www.douban.com/people/ShaneGao/,user-stars allstar20 rating,2020/6/12,非要找点优点的话，那就是：普及了Mojito的正确读法。,6,0
Torrr,https://www.douban.com/people/narcissus_se/,user-stars allstar20 rating,2020/6/12,全世界就我觉得难听吧???♂?,9,0
迪,https://www.douban.com/people/jinxiaoshui/,user-stars allstar30 rating,2020/6/12,真的很一般。,4,0
软体不稳那那酱,https://www.douban.com/people/ibunnyo/,user-stars allstar50 rating,2020/6/12,和过去相比多了几分甜和油，但曲子的容纳度和灵活度都上升了好多，编曲上更胜过去类似风格一筹，rap部分也恰到好处。就挺可怕的，这人就是想写首甜腻腻油滋滋的烂大街情歌都能秀出他的音乐在进步。but强力瘦身特效给我关了！楼都歪了！,0,2
炭疽,https://www.douban.com/people/164129483/,user-stars allstar30 rating,2020/6/12,比较大的迷迭香,4,0
小太阳.,https://www.douban.com/people/zy2819066/,user-stars allstar30 rating,2020/6/12,也没有点评里面说的不堪吧....,2,1
Zeki,https://www.douban.com/people/hara_zeki/,user-stars allstar30 rating,2020/6/12,这段rap内味儿很浓，这个mv GTA罪恶都市,2,2
信然||Season,https://www.douban.com/people/S_ilencio/,user-stars allstar50 rating,2020/6/12,太惊喜了，我的青春！,8,2
v仔在逃难,https://www.douban.com/people/lvsedianshan/,user-stars allstar30 rating,2020/6/12,可能困苦才是创作的源泉吧，周董这些年太舒坦了,8,0
JoMo,https://www.douban.com/people/157024605/,user-stars allstar30 rating,2020/6/12,其实这种调子已经不新鲜了，也许在周杰伦眼中觉得很新奇，其实周杰伦不是江郎才尽，他只是成名之后，再也没有之前那种虔诚的做音乐的态度，就如之前《土耳其冰淇淋》一样，编曲当然好，但是现在的乐坛已经不需要这种创新了。其实打了这么一大堆文字，还是希望他继续加油吧。,57,0
indiezouzou,https://www.douban.com/people/38568069/,user-stars allstar40 rating,2020/6/12,结结实实给那些刷榜流量花瓶上一课，还有那些中英乱彪的臭trap烂rapper们，周董还是你们爸爸。,2,2
Helicopter,https://www.douban.com/people/helicopter/,,2020/6/12,熟悉的配方，安全的味道，顺手拈来的异国调料,5,1
大吉大利玛丽萌,https://www.douban.com/people/moedream/,user-stars allstar30 rating,2020/6/12,还不错了，比之前几首歌好听,1,2
Aria.粉。,https://www.douban.com/people/red_child/,,2020/6/12,挺好听的呀，够甜！稍微有点回到《迷迭香》那时的感觉。,1,2
富川白书??,https://www.douban.com/people/130617696/,user-stars allstar40 rating,2020/6/12,换个写词的吧……,3,0
不吃不吃,https://www.douban.com/people/kyspace/,user-stars allstar40 rating,2020/6/12,我是真滴喜爱拉丁风，大早上在家里扭起来了,2,2
Padoru Padoru,https://www.douban.com/people/eva1221/,user-stars allstar30 rating,2020/6/12,7.0-7.3 出于拉丁音乐好感,2,1
Shah?,https://www.douban.com/people/Shahtoosh/,,2020/6/12,听起来胖胖的,2,0
夜神月,https://www.douban.com/people/lizihao200808/,user-stars allstar30 rating,2020/6/12,近些年来，周杰伦唯一一首达到及格线的作品。,8,1
1个柒,https://www.douban.com/people/147502389/,user-stars allstar50 rating,2020/6/11,20年了，每次都是江郎才尽，拜托，耳朵都听出化石了好么，能不能换个词黑？杰伦在创新突破，你们这些打一两星的黑子咋一直原地踏步呀？下次黑麻烦换个新词行么？能不能也创新一下？加油！看好你们（笑,165,2
低端youyidifi,https://www.douban.com/people/54762005/,user-stars allstar10 rating,2020/6/12,老夫聊发少年狂的难听音乐，感觉像和昆凌颠鸾倒凤不止天地为何物之后抽事后烟的时候写的,8,0
happy北极光,https://www.douban.com/people/123653446/,user-stars allstar20 rating,2020/6/12,不难听，但是用心不用心还是能听出来的,10,0
。。,https://www.douban.com/people/174358741/,user-stars allstar20 rating,2020/6/12,不是杰迷，单纯觉得不好听没感觉，不会再打开这首歌了，本来想打三星，看着某些双标的杰迷觉得可笑，真的是醉了，听周杰伦的歌还给你们听出优越感来了，你可以说别人的歌不好听，怎么，别人就不能认为周杰伦的歌不好听了？这本来就是个主观的东西，你们在gc什么,9,0
鱼呵呵要做锦鲤,https://www.douban.com/people/ykx0619/,user-stars allstar30 rating,2020/6/12,不是杠，看完我想喝桑格利亚,3,0
阿卜,https://www.douban.com/people/shiguagji/,,2020/6/12,大概是无法共情到这样的情绪，所以我听起来也无感。,3,0
回忆跪在眼前,https://www.douban.com/people/127197701/,user-stars allstar50 rating,2020/6/12,我好想你。,6,1
Matth?us,https://www.douban.com/people/chewy/,user-stars allstar20 rating,2020/6/12,厉害了我的杰伦哥，老普通了还是有人要尬吹,9,0
penumbear,https://www.douban.com/people/46085016/,user-stars allstar40 rating,2020/6/12,不是忘记了，而是强求他能回到 迷迭香 时期这件事本身就没有意义。好比现在问你还记得五月天的 透露 吗，或者 孙燕姿的 和平，再或者梁静茹的 迷路。或许只需要记住一句“我们在时代与金曲之中失去”，后面那句不提真的也无伤大雅。,3,1
天外☆飞仙,https://www.douban.com/people/207409910/,user-stars allstar30 rating,2020/6/12,「Mojito」：U1S1，部分旋律确实挺像「人生的旋转木马」的。Rap不错就是太短了，Rap前的间奏不错，异域风情满满。歌词说实话挺low的，方文山能不能出山帮帮杰伦，这作词真心不行，虽然这次不是杰伦写的。曲风算不上新颖，编曲也算不上惊艳，但这类我听的少，所以勉强吃这套。整首歌对于Jay来说最多只能算中规中矩。然后，如果要点Mojito的话，我会点Maksim那杯。,1,1
Irene,https://www.douban.com/people/kelly0418/,,2020/6/12,还行吧，但不太适合周杰伦唱,12,0
西凉河葛三叔,https://www.douban.com/people/lick/,user-stars allstar40 rating,2020/6/12,比前几单好听 3.5 但是那个花衬衫真的无法忍 而且这首歌我容易窜到啊朋友再见 啊朋友再见吧再见吧里面去,3,1
ゑ,https://www.douban.com/people/dusk.xiyang/,user-stars allstar30 rating,2020/6/12,好安全的编曲,0,0
人淡如菊。无奈,https://www.douban.com/people/vitamisa/,,2020/6/12,就一个感觉 迷迭香真香！,0,0
????????????????,https://www.douban.com/people/ReoLove/,,2020/6/12,莫吉托没小鸟伏特加好喝,1,0
布迪布迪,https://www.douban.com/people/ddfish/,user-stars allstar50 rating,2020/6/12,不错啊~深夜好心情！甚至忘了明天要早起开会。。。,6,2
Avril Lavigne,https://www.douban.com/people/EdwardLear/,user-stars allstar40 rating,2020/6/12,无论怎样都比之前出的那些歌好多了。,2,1
安德,https://www.douban.com/people/hengacheung/,user-stars allstar30 rating,2020/6/12,我错了，姐说好听就是真好听！????,0,0
alain.proust,https://www.douban.com/people/spiky1920/,user-stars allstar30 rating,2020/6/12,豆瓣话题邀你参与#视频·你所偶遇的街头表演艺术家#。,4,1
洛城上空的麦田,https://www.douban.com/people/andylau40/,user-stars allstar20 rating,2020/6/12,在舒适区里就创作不出一首好歌了，什么垃圾，就瞎抄还抄的极烂,4,0
茄哩啡,https://www.douban.com/people/lvspinach/,user-stars allstar50 rating,2020/6/12,今年够苦的了，感谢杰伦送来甜甜气泡mojito,11,2
神秘金针菇,https://www.douban.com/people/secretjinzhengu/,user-stars allstar30 rating,2020/6/12,这车也太粉了吧………风格像模像样的，插了一段rap也挺舒服的。,0,2
寒枝雀静,https://www.douban.com/people/93124222/,user-stars allstar30 rating,2020/6/12,除了中间那几句之外，其他就有种新鲜感原创度都很低的感觉……,7,0
莫莫先生,https://www.douban.com/people/62888853/,user-stars allstar40 rating,2020/6/12,夏天还是要听周杰伦啊……TAT,5,2
A New Error,https://www.douban.com/people/Lumicarockroll/,user-stars allstar30 rating,2020/6/12,“喧嚣的海报躺在 慵懒的阁楼阳台 而妳是文学家笔下的那一片海” 讲真 这是什么歌词？ 我怀念七里香的歌词了,4,0
熟客思春期,https://www.douban.com/people/109837470/,user-stars allstar30 rating,2020/6/12,没有深度的拉丁元素植入，迈入20年代的Jay，每天都在鼓吹浪漫生活的虚拟代入感。可我们为什么要耐下心去接受时代的平庸呢，我们又不是受虐狂。 再者，不是每个人都想听这种歌谈这种恋爱的。真的不是。,0,0
安小安,https://www.douban.com/people/flowerann/,user-stars allstar50 rating,2020/6/12,五星拉高平均分。,3,2
个别人,https://www.douban.com/people/45581073/,user-stars allstar40 rating,2020/6/12,还好吧，只是这mtv是什么时候拍的？,1,0
yoyo,https://www.douban.com/people/121817489/,,2020/6/12,真的好像美少女战士的op啊...,1,0
VZDYve,https://www.douban.com/people/91314190/,user-stars allstar50 rating,2020/6/12,醉心拉美文化的我必须极尽赞美地夸。终于又见类似10年代初rap风格，歌词一如既往地触碰灵魂深处浪漫：“你是文学家笔下那一片海。” 而 “你所在之处，孤单都被征服”真的深深刻画拉美这块魔力土地的精髓，这地方它或许文化失落，或许有博尔赫斯和Julio Cortazar筑起迷幻城墙，但深入生活，脚踏大地，拉美永不孤独。“这爱不落幕，忘了心事的国度”一瞬间让我重回拉美闹嚷，这是拉美人生活的真相。雪茄，书香，小酒馆，海明威，音乐，老城，傍晚的Malecón海滨大道…街头一抹红，老爷车随处可见的古老风派，手上一杯莫吉托酒，在港口和你饮尽海风。周杰伦真是完美融合古巴风情和周氏音乐，亲手编织La Havana一场热力五彩的梦。 p.s.拜托杰伦把拉美都写了吧，圆了我的梦！ 未来一定要听着杰伦这首走在哈瓦那。,10,2
BlueJeans,https://www.douban.com/people/123340879/,user-stars allstar20 rating,2020/6/12,比前面几首好些，不过依旧难听,4,0
玲瓏·喵子酱,https://www.douban.com/people/Kayicat/,user-stars allstar30 rating,2020/6/12,熟悉的配方，熟悉的味道，熟悉的婚后老少年。,0,0
RimeC,https://www.douban.com/people/Glide-bufeng/,user-stars allstar30 rating,2020/6/12,“很多年后，C依旧会想起来听到专辑《Jay》的那一天。” but not mojito 20200611,2,0
